"","Gene_Name","Gene_ID"
"1","ASCL4","ENSCHAG00000026305"
"2","ATP6V0E1","ENSCHAG00000001105"
"3","CPEB4","ENSCHAG00000001432"
"10","ENSCHAG00000000002","ENSCHAG00000000002"
"18","ENSCHAG00000000003","ENSCHAG00000000003"
"19","ENSCHAG00000000004","ENSCHAG00000000004"
"26","ENSCHAG00000000006","ENSCHAG00000000006"
"27","ENSCHAG00000000007","ENSCHAG00000000007"
"28","ENSCHAG00000000009","ENSCHAG00000000009"
"29","ENSCHAG00000000247","ENSCHAG00000000247"
"30","ENSCHAG00000001020","ENSCHAG00000001020"
"31","ENSCHAG00000001024","ENSCHAG00000001024"
"32","ENSCHAG00000001028","ENSCHAG00000001028"
"33","ENSCHAG00000001039","ENSCHAG00000001039"
"34","ENSCHAG00000001053","ENSCHAG00000001053"
"35","ENSCHAG00000001350","ENSCHAG00000001350"
"36","ENSCHAG00000002206","ENSCHAG00000002206"
"38","ENSCHAG00000002232","ENSCHAG00000002232"
"41","ENSCHAG00000002257","ENSCHAG00000002257"
"46","ENSCHAG00000002549","ENSCHAG00000002549"
"47","ENSCHAG00000002560","ENSCHAG00000002560"
"48","ENSCHAG00000002670","ENSCHAG00000002670"
"49","ENSCHAG00000002680","ENSCHAG00000002680"
"50","ENSCHAG00000002778","ENSCHAG00000002778"
"55","ENSCHAG00000003046","ENSCHAG00000003046"
"57","ENSCHAG00000003086","ENSCHAG00000003086"
"58","ENSCHAG00000003095","ENSCHAG00000003095"
"59","ENSCHAG00000003128","ENSCHAG00000003128"
"60","ENSCHAG00000003136","ENSCHAG00000003136"
"61","ENSCHAG00000003157","ENSCHAG00000003157"
"62","ENSCHAG00000003200","ENSCHAG00000003200"
"64","ENSCHAG00000003271","ENSCHAG00000003271"
"65","ENSCHAG00000003300","ENSCHAG00000003300"
"66","ENSCHAG00000003307","ENSCHAG00000003307"
"67","ENSCHAG00000003339","ENSCHAG00000003339"
"69","ENSCHAG00000003371","ENSCHAG00000003371"
"70","ENSCHAG00000003631","ENSCHAG00000003631"
"71","ENSCHAG00000003668","ENSCHAG00000003668"
