"N","High level GO category","Genes"
54,"Catalytic activity "," fkbp10b  map2k1  akr1b1.1  PCYOX1L  rab11a  si:dkey-27j5.5  papolg  sult4a1  zgc:56585  MUSK  pgam1a  zdhhc16a  taok2a  mapk8a  nots  nlk1  dkc1  akr7a3  si:ch211-223a10.1  cyb561  ep300b  PRPSAP1  xpnpep3  SPHK1  aanat1  RHBDF2  acox1  f9a  glt8d2  fbxo18  dgat2  mogat2  nsfb  loxl1  pdk2a  CPO  nudt19  cpt1aa  TUBA4A  tuba8l3  ptprna  st3gal3a  rad54l  glsb  RDH13  wdr76  mknk1  nell2b  pus7l  fdx2  HMOX1  pde6ha  opa1"
49,"Organic cyclic compound binding "," si:dkey-217f16.6  map2k1  CPEB4  rab11a  msx2b  si:dkey-27j5.5  rel  papolg  pitx1  meox2b  MUSK  actr3  taok2a  mapk8a  zfhx4  camta1a  cct2  nlk1  cpsf6  dkc1  foxj3  arid4a  tbpl2  cygb2  hsp90b1  acox1  atp11c  ten1  srp68  fbxo18  nsfb  nkrf  MYO1D  mnx2a  TUBA4A  tuba8l3  ahr2  rad54l  dmbx1b  mknk1  stat1a  pus7l  zcrb1  ncbp3  pde6ha  rbfox2  her6  opa1"
49,"Heterocyclic compound binding "," si:dkey-217f16.6  map2k1  CPEB4  rab11a  msx2b  si:dkey-27j5.5  rel  papolg  pitx1  meox2b  MUSK  actr3  taok2a  mapk8a  zfhx4  camta1a  cct2  nlk1  cpsf6  dkc1  foxj3  arid4a  tbpl2  cygb2  hsp90b1  acox1  atp11c  ten1  srp68  fbxo18  nsfb  nkrf  MYO1D  mnx2a  TUBA4A  tuba8l3  ahr2  rad54l  dmbx1b  mknk1  stat1a  pus7l  zcrb1  ncbp3  pde6ha  rbfox2  her6  opa1"
40,"Ion binding "," fkbp10b  map2k1  rab11a  pef1  si:dkey-27j5.5  MUSK  actr3  taok2a  mapk8a  pex2  zfhx4  cct2  nlk1  slit3  ep300b  PRPSAP1  cygb2  xpnpep3  hsp90b1  pcdh18b  acox1  f9a  atp11c  fbxo18  nsfb  loxl1  MYO1D  CPO  TUBA4A  tuba8l3  traf1  rad54l  mknk1  nell2b  prickle1b  zcrb1  pde6ha  opa1  lrp8"
23,"Small molecule binding "," map2k1  rab11a  si:dkey-27j5.5  MUSK  actr3  taok2a  mapk8a  cct2  nlk1  cygb2  hsp90b1  acox1  atp11c  fbxo18  nsfb  MYO1D  TUBA4A  tuba8l3  rad54l  mknk1  pde6ha  opa1"
20,"Transferase activity "," map2k1  papolg  sult4a1  MUSK  zdhhc16a  taok2a  mapk8a  nlk1  si:ch211-223a10.1  ep300b  PRPSAP1  SPHK1  aanat1  glt8d2  dgat2  mogat2  pdk2a  cpt1aa  st3gal3a  mknk1"
20,"Carbohydrate derivative binding "," map2k1  rab11a  si:dkey-27j5.5  MUSK  actr3  taok2a  mapk8a  cct2  nlk1  hsp90b1  atp11c  fbxo18  nsfb  MYO1D  TUBA4A  tuba8l3  rad54l  mknk1  pde6ha  opa1"
18,"Hydrolase activity "," rab11a  si:dkey-27j5.5  nots  xpnpep3  RHBDF2  f9a  fbxo18  nsfb  CPO  nudt19  TUBA4A  tuba8l3  ptprna  glsb  wdr76  nell2b  pde6ha  opa1"
15,"Molecular function regulator "," stc2b  si:busm1-57f23.1  pomcb  tshba  sbf1  plekhg5a  utp3  adm2a  mcf2a  inhbb  cxcl14  cdk5r1b  dab2ipa  artna"
13,"DNA-binding transcription factor activity "," crebrf  msx2b  rel  sox9a  pitx1  meox2b  zfhx4  foxj3  mnx2a  ahr2  dmbx1b  stat1a  ASCL4"
11,"Oxidoreductase activity "," akr1b1.1  PCYOX1L  zgc:56585  akr7a3  cyb561  acox1  loxl1  RDH13  fdx2  HMOX1"
8,"Transporter activity "," ATP6V0E1  kcnab2a  cacna1c  slc5a8l  slc16a1a  slc7a11  atp11c  slc1a7b"
8,"Enzyme regulator activity "," si:busm1-57f23.1  sbf1  plekhg5a  utp3  mcf2a  cdk5r1b  dab2ipa"
7,"Molecular transducer activity "," or108-3  lpar1  antxr1d  P2RY4  gnrhr2  ahr2  S1PR5"
7,"Transmembrane transporter activity "," ATP6V0E1  kcnab2a  cacna1c  slc5a8l  slc16a1a  slc7a11  slc1a7b"
7,"Signaling receptor regulator activity "," stc2b  pomcb  tshba  adm2a  inhbb  cxcl14  artna"
7,"Signaling receptor activity "," or108-3  lpar1  antxr1d  P2RY4  gnrhr2  ahr2  S1PR5"
7,"Receptor ligand activity "," stc2b  pomcb  tshba  adm2a  inhbb  cxcl14  artna"
4,"Isomerase activity "," fkbp10b  pgam1a  dkc1  pus7l"
3,"Structural molecule activity "," evpla  TUBA4A  tuba8l3"
3,"Protein-containing complex binding "," evpla  srp68  fscn2b"
2,"Guanyl-nucleotide exchange factor activity "," plekhg5a  mcf2a"
2,"Structural constituent of cytoskeleton "," TUBA4A  tuba8l3"
2,"Molecular adaptor activity "," bnip1b  fscn2b"
1,"Electron transfer activity "," fdx2"
1,"Translation regulator activity "," CPEB4"
1,"Nuclear receptor activity "," ahr2"
1,"Oxygen binding "," cygb2"
1,"Carbohydrate binding "," lgals3b"
1,"Amide binding "," srp68"
1,"Metal cluster binding "," fdx2"
