"N","High level GO category","Genes"
64,"Biological regulation "," si:dkey-217f16.6  crebrf  diaph2  CPEB4  edn1  nsg2  msx2b  si:dkey-27j5.5  rel  sox9a  or108-3  smyd4  pitx1  mylipa  meox2b  rassf6  lpar1  actr3  kctd13  sfrp5  zdhhc16a  zfhx4  camta1a  pomcb  nlk1  cacna1c  dvl1a  ppp6r2a  ARHGAP22  sbf1  foxj3  slit3  ep300b  si:ch211-185a18.2  f9a  mcf2a  atp11c  esama  wnt11  P2RY4  fam13b  ormdl3  wnt3  arr3b  cpt1aa  mnx2a  traf1  gnrhr2  dab2ipa  ahr2  NAB1  dmbx1b  stat1a  nell2b  twf1b  yaf2  arr3a  S1PR5  rbfox2  her6  ASCL4  mier1a"
58,"Regulation of biological process "," si:dkey-217f16.6  crebrf  diaph2  CPEB4  edn1  nsg2  msx2b  si:dkey-27j5.5  rel  sox9a  or108-3  smyd4  pitx1  mylipa  meox2b  rassf6  lpar1  actr3  kctd13  sfrp5  zdhhc16a  zfhx4  camta1a  pomcb  nlk1  cacna1c  dvl1a  ppp6r2a  ARHGAP22  foxj3  slit3  ep300b  si:ch211-185a18.2  mcf2a  wnt11  P2RY4  fam13b  wnt3  arr3b  cpt1aa  mnx2a  traf1  gnrhr2  dab2ipa  ahr2  NAB1  dmbx1b  stat1a  nell2b  twf1b  yaf2  arr3a  S1PR5  rbfox2  her6  ASCL4  mier1a"
56,"Regulation of cellular process "," si:dkey-217f16.6  crebrf  diaph2  CPEB4  nsg2  msx2b  si:dkey-27j5.5  rel  sox9a  or108-3  smyd4  pitx1  mylipa  meox2b  rassf6  lpar1  actr3  kctd13  sfrp5  zdhhc16a  zfhx4  camta1a  pomcb  nlk1  dvl1a  ppp6r2a  ARHGAP22  foxj3  slit3  ep300b  si:ch211-185a18.2  mcf2a  wnt11  P2RY4  fam13b  wnt3  arr3b  cpt1aa  mnx2a  traf1  gnrhr2  dab2ipa  ahr2  NAB1  dmbx1b  stat1a  nell2b  twf1b  yaf2  arr3a  S1PR5  rbfox2  her6  ASCL4  mier1a"
53,"Cellular metabolic process "," si:dkey-217f16.6  map2k1  PCYOX1L  crebrf  CPEB4  b3gnt2b  msx2b  rel  sox9a  papolg  smyd4  pitx1  meox2b  MUSK  pgam1a  taok2a  mapk8a  zfhx4  camta1a  nlk1  dkc1  ppp6r2a  foxj3  psma3  cyb561  ep300b  PRPSAP1  tbpl2  acox1  polg2  inppl1b  ormdl3  faap100  cpt1aa  mnx2a  ptprna  st3gal3a  ahr2  INPP1  NAB1  glsb  dmbx1b  mknk1  stat1a  pus7l  yaf2  keap1b  HMOX1  rbfox2  her6  ASCL4  mier1a"
51,"Multicellular organismal process "," diaph2  rab11a  edn1  rel  sox9a  smyd4  mylipa  sez6l2  lpar1  kctd13  sfrp5  hirip3  zdhhc16a  taok2a  maza  pomcb  nlk1  dkc1  cacna1c  plekhg5a  utp3  skib  slit3  ep300b  tbpl2  xpnpep3  hsp90b1  pcdh18b  pdcd2l  f9a  epcam  esama  wnt11  wnt3  nsfb  igdcc4  loxl1  cdk5r1b  MYO1D  cpt1aa  mnx2a  katnb1  dab2ipa  ahr2  dmbx1b  prickle1b  yaf2  ap1m2  pde6ha  her6  opa1"
51,"Nitrogen compound metabolic process "," si:dkey-217f16.6  map2k1  PCYOX1L  crebrf  CPEB4  b3gnt2b  msx2b  rel  sox9a  papolg  smyd4  pitx1  meox2b  MUSK  pgam1a  taok2a  mapk8a  zfhx4  camta1a  nots  nlk1  dkc1  ppp6r2a  foxj3  psma3  ep300b  PRPSAP1  tbpl2  f9a  polg2  ormdl3  CPO  faap100  mnx2a  ptprna  st3gal3a  ahr2  NAB1  glsb  wdr76  dmbx1b  mknk1  stat1a  pus7l  yaf2  keap1b  HMOX1  rbfox2  her6  ASCL4  mier1a"
50,"Developmental process "," diaph2  rab11a  rel  sox9a  smyd4  mylipa  sez6l2  lpar1  kctd13  sfrp5  hirip3  zdhhc16a  taok2a  maza  pomcb  nlk1  dkc1  cacna1c  plekhg5a  utp3  skib  slit3  ep300b  tbpl2  xpnpep3  hsp90b1  pcdh18b  pdcd2l  evpla  epcam  esama  wnt11  uvrag  wnt3  nsfb  igdcc4  loxl1  cdk5r1b  MYO1D  cpt1aa  mnx2a  katnb1  dab2ipa  ahr2  dmbx1b  prickle1b  yaf2  ap1m2  her6  opa1"
49,"Anatomical structure development "," diaph2  rab11a  rel  sox9a  smyd4  mylipa  sez6l2  lpar1  kctd13  sfrp5  hirip3  zdhhc16a  taok2a  maza  pomcb  nlk1  dkc1  cacna1c  plekhg5a  utp3  skib  slit3  ep300b  tbpl2  xpnpep3  hsp90b1  pcdh18b  pdcd2l  evpla  epcam  esama  wnt11  wnt3  nsfb  igdcc4  loxl1  cdk5r1b  MYO1D  cpt1aa  mnx2a  katnb1  dab2ipa  ahr2  dmbx1b  prickle1b  yaf2  ap1m2  her6  opa1"
42,"Response to stimulus "," crebrf  diaph2  nsg2  si:dkey-27j5.5  rel  or108-3  mylipa  rassf6  lpar1  kctd13  sfrp5  zdhhc16a  nlk1  dvl1a  ARHGAP22  si:ch211-185a18.2  hsp90b1  f9a  mcf2a  polg2  esama  wnt11  mogat2  P2RY4  cxcl14  fam13b  wnt3  arr3b  nsfb  igdcc4  faap100  traf1  gnrhr2  dab2ipa  ahr2  wdr76  stat1a  nell2b  arr3a  S1PR5  her6"
36,"Cellular response to stimulus "," diaph2  nsg2  si:dkey-27j5.5  rel  or108-3  mylipa  rassf6  lpar1  kctd13  sfrp5  zdhhc16a  nlk1  dvl1a  ARHGAP22  si:ch211-185a18.2  mcf2a  polg2  wnt11  P2RY4  cxcl14  fam13b  wnt3  arr3b  nsfb  faap100  traf1  gnrhr2  dab2ipa  ahr2  wdr76  stat1a  nell2b  arr3a  S1PR5  her6"
