"N","High level GO category","Genes"
66,"Cellular metabolic process "," ebf2  irx5a  uprt  mycla  zdhhc15b  thrap3b    hadhab  pdgfra  myrf  cox10  b3gnt2b  ccnt2b  gtf2h5  rps6ka5  top2b  kita  clocka  idh3a  eif3f  atg5  AGBL4  pip4p1a  shox2  magt1  plppr4b  plppr5b  rps27l  aldob  ngly1  oxsm  rps6kal  etfdh  psd3l  POU3F4  ppid  ep300b  BRSK2  ldha  tsg101a  zgc:123278  tfb2m  pomt2  lin52  tbxtb  vsx2  supt4h1  mertka  NR2F1  fam172a  slf1  cbfa2t3  aprt  plppr2b  slc25a38b  rpsa  uggt1  sox6  pus7l  mgat5  pmpcb  wnk1b  epha4a  pcgf6  cyp17a1"
61,"Biological regulation "," ebf2  irx5a  mycla    fgf16  diaph2  ank1a  pdgfra  myrf  ccnt2b  edn1  rps6ka5  akap12b  nup62l  sbf2  kita  clocka  atp1a2a  atg5  AGBL4  shox2  PALMD  snx7  C3  trpm1b  rps6kal  psd3l  POU3F4  magi2a  htr4  pde6a  slit3  ep300b  il6st  pde10a  hrasa  myh10  tfb2m  abcc9  tbxtb  vsx2  supt4h1  lhcgr  syt1b  NR2F1  fam172a  slf1  cbfa2t3  piezo1  slc25a38b  nell2b  sox6  rhol  wnt5b  epha4a  pcgf6  cnnm2a  cyp17a1  fgf8a"
58,"Nitrogen compound metabolic process "," ebf2  irx5a  uprt  mycla  zdhhc15b  ciao2b  thrap3b    pdgfra  myrf  cox10  b3gnt2b  ccnt2b  gtf2h5  rps6ka5  top2b  kita  clocka  eif3f  AGBL4  shox2  magt1  rps27l  aldob  ngly1  rps6kal  psd3l  POU3F4  ppid  ep300b  BRSK2  tsg101a  zgc:123278  tfb2m  pomt2  lin52  tbxtb  vsx2  supt4h1  mertka  spg7  NR2F1  fam172a  slf1  cbfa2t3  aprt  slc25a38b  rpsa  uggt1  sox6  pus7l  mgat5  pmpcb  wnk1b  adamts9  epha4a  pcgf6"
54,"Regulation of biological process "," ebf2  irx5a  mycla    fgf16  diaph2  ank1a  pdgfra  myrf  ccnt2b  edn1  rps6ka5  akap12b  nup62l  kita  clocka  atg5  AGBL4  shox2  PALMD  snx7  C3  trpm1b  rps6kal  psd3l  POU3F4  magi2a  htr4  pde6a  slit3  ep300b  il6st  pde10a  hrasa  myh10  tfb2m  abcc9  tbxtb  vsx2  supt4h1  lhcgr  NR2F1  fam172a  slf1  cbfa2t3  nell2b  sox6  rhol  wnt5b  epha4a  pcgf6  fgf8a"
50,"Multicellular organismal process "," irx5a  zdhhc15b  fgf16  diaph2  edn1  slc39a6  myct1a  akap12b  top2b  nup62l  pls3  cdh13  clocka  cib2  atp1a2a  atg5  shox2  plppr4b  snx7  megf8  tmem41b  anln  POU3F4  magi2a  slc26a2  pde6a  slit3  ep300b  il6st  xpnpep3  smyd3  myh10  abcc9  lhcgr  rapsn  prph2a  piezo1  slc25a38b  sox6  prickle1b  mgat5  wnk1b  rhol  adamts9  wnt5b  prickle2b  inaa  cnnm2a  cyp17a1  fgf8a"
48,"Developmental process "," irx5a  zdhhc15b  fgf16  diaph2  slc39a6  myct1a  akap12b  top2b  nup62l  pls3  cdh13  clocka  cib2  atp1a2a  eif3f  atg5  shox2  PALMD  plppr4b  snx7  megf8  tmem41b  anln  POU3F4  magi2a  slc26a2  slit3  ep300b  il6st  xpnpep3  smyd3  myh10  lhcgr  rapsn  tbcc  piezo1  slc25a38b  sox6  prickle1b  mgat5  wnk1b  adamts9  wnt5b  prickle2b  inaa  cnnm2a  cyp17a1  fgf8a"
48,"Anatomical structure development "," irx5a  zdhhc15b  fgf16  diaph2  slc39a6  myct1a  akap12b  top2b  nup62l  pls3  cdh13  clocka  cib2  atp1a2a  eif3f  atg5  shox2  PALMD  plppr4b  snx7  megf8  tmem41b  anln  POU3F4  magi2a  slc26a2  slit3  ep300b  il6st  xpnpep3  smyd3  myh10  lhcgr  rapsn  tbcc  piezo1  slc25a38b  sox6  prickle1b  mgat5  wnk1b  adamts9  wnt5b  prickle2b  inaa  cnnm2a  cyp17a1  fgf8a"
47,"Regulation of cellular process "," ebf2  irx5a  mycla    fgf16  diaph2  ank1a  pdgfra  myrf  ccnt2b  rps6ka5  akap12b  nup62l  kita  clocka  AGBL4  shox2  snx7  trpm1b  rps6kal  psd3l  POU3F4  magi2a  htr4  pde6a  slit3  ep300b  il6st  pde10a  hrasa  tfb2m  tbxtb  vsx2  supt4h1  lhcgr  NR2F1  fam172a  slf1  cbfa2t3  nell2b  sox6  rhol  wnt5b  epha4a  pcgf6  fgf8a"
37,"Biosynthetic process "," ebf2  irx5a  mycla  zdhhc15b    myrf  cox10  b3gnt2b  ccnt2b  gtf2h5  clocka  eif3f  AGBL4  shox2  magt1  rps27l  oxsm  psd3l  POU3F4  ep300b  tfb2m  pomt2  lin52  tbxtb  vsx2  supt4h1  NR2F1  cbfa2t3  aprt  slc25a38b  rpsa  uggt1  sox6  mgat5  pcgf6  cyp17a1"
36,"Response to stimulus "," fgf16  diaph2  ank1a  pdgfra  gtf2h5  rps6ka5  akap12b  top2b  nup62l  pls3  kita  clocka  cib2  atp1a2a  atg5  DNAJA4  C3  trpm1b  tmem41b  rps6kal  psd3l  magi2a  htr4  pde6a  il6st  ldha  pde10a  hrasa  lhcgr  slf1  nell2b  rhol  wnt5b  epha4a  fgf8a"
