"N","High level GO category","Genes"
92,"Biological regulation "," ebf2  irx5a  ank1a  palm1a  asap1b  arhgdia  fam49bb  myca  recql5  efna2b  pde3a  phf1  rgl2  sbf2  pbx2  lmx1bb  ralgps1  plcl2  angptl2b  ing5a  kctd13  lats1  nf1b  kcnk5b  pak2b  nlk1  trpm1b  id2a  apbb1ip  gad2  irx2a  irx1a  fzd3b  cdc42bpaa  si:dkey-191g9.5  ldb1a  pnpla6  dedd1  depdc7b  penkb  gpr158a  dixdc1a  pkn3  plch2b  adam10a  adcy7  nkd1  nod2  sall1a  tmem198b  grk4  rabif  tbx20  aldh1a2  inpp5d  gpr17  adrb3a  prlhr2a  adgra2  MAF  htt  myo9aa  trip4  lmod1b  rap1ab  sap130a  rxfp3.3a2  drd4b  rgs12b  dok7  amotl2a  adra2c  stox1  ccar1  tet1  myzap  sp7  tarbp2  vdac2  lrp1aa  vwf  f5  gpr161  e2f5  ackr4a  prox1a  or135-1  myo5b  sulf2b  si:ch211-218g4.2  anos1b"
87,"Cellular metabolic process "," ebf2  irx5a  ercc3  camk2g2  ptbp1b  ALDOA  si:dkey-37o8.1  myca  recql5  top2b  prkcba  ctps1b  phf1  dnase2  pbx2  usp3  taf12  ern2  plk1  ptprub  lmx1bb  DAPK2  si:dkey-61p9.11  idh3a  ing5a  pigx  zgc:77752  lats1  taok2a  nt5c1bb  pak2b  nlk1  rps27l  mastl  acbd5a  pdss1  rnf144aa  id2a  ngly1  oxsm  gad2  irx2a  irx1a  myo3a  cdc42bpaa  chchd1  polr1c  ldb1a  pnpla6  mapk3  LYN  ankk1  sik2b  plppr1  pkn3  DLAT  unm_hu7910  adcy7  cylda  grk4  th  tbx20  aldh1a2  inpp5d  got1l1  hdac3  MAF  trip4  sap130a  dok7  pkdcca  zgc:153981  si:ch211-223p8.8  SLK  stox1  ccar1  zgc:110319  eif4e1c  tet1  alox5a  tarbp2  e2f5  spo11  prox1a  mapkapk2b  eif2d"
83,"Regulation of biological process "," ebf2  irx5a  ank1a  palm1a  arhgdia  fam49bb  myca  recql5  efna2b  pde3a  phf1  rgl2  pbx2  lmx1bb  ralgps1  plcl2  angptl2b  ing5a  kctd13  lats1  nf1b  pak2b  nlk1  trpm1b  id2a  apbb1ip  irx2a  irx1a  fzd3b  cdc42bpaa  ldb1a  pnpla6  dedd1  depdc7b  penkb  gpr158a  dixdc1a  pkn3  plch2b  adam10a  adcy7  nkd1  nod2  sall1a  tmem198b  grk4  rabif  tbx20  aldh1a2  inpp5d  gpr17  adrb3a  prlhr2a  adgra2  MAF  htt  myo9aa  trip4  lmod1b  rap1ab  sap130a  rxfp3.3a2  drd4b  rgs12b  dok7  amotl2a  adra2c  stox1  ccar1  tet1  myzap  sp7  tarbp2  vdac2  lrp1aa  gpr161  e2f5  ackr4a  prox1a  or135-1  si:ch211-218g4.2  anos1b"
82,"Nitrogen compound metabolic process "," ebf2  irx5a  ercc3  camk2g2  ptbp1b  ALDOA  si:dkey-37o8.1  myca  recql5  top2b  prkcba  ctps1b  phf1  dnase2  pbx2  usp3  taf12  ern2  plk1  ptprub  lmx1bb  DAPK2  yme1l1a  ing5a  pigx  zgc:77752  lats1  taok2a  nt5c1bb  pak2b  nlk1  rps27l  mastl  rnf144aa  id2a  ngly1  gad2  irx2a  irx1a  myo3a  cdc42bpaa  si:ch211-51a6.2  chchd1  polr1c  ldb1a  pnpla6  mapk3  LYN  ankk1  sik2b  pkn3  unm_hu7910  adam10a  tmprss5  adcy7  cylda  rnpep  grk4  th  tbx20  got1l1  hdac3  MAF  trip4  ADAMTS7  sap130a  dok7  pkdcca  zgc:153981  si:ch211-223p8.8  SLK  stox1  ccar1  eif4e1c  tet1  tarbp2  e2f5  spo11  prox1a  mapkapk2b  eif2d"
78,"Regulation of cellular process "," ebf2  irx5a  ank1a  arhgdia  fam49bb  myca  recql5  efna2b  pde3a  phf1  rgl2  pbx2  lmx1bb  ralgps1  plcl2  angptl2b  ing5a  kctd13  lats1  nf1b  pak2b  nlk1  trpm1b  id2a  apbb1ip  irx2a  irx1a  fzd3b  cdc42bpaa  ldb1a  pnpla6  dedd1  depdc7b  penkb  gpr158a  dixdc1a  pkn3  plch2b  adam10a  adcy7  nkd1  nod2  sall1a  tmem198b  grk4  rabif  tbx20  aldh1a2  inpp5d  gpr17  adrb3a  prlhr2a  adgra2  MAF  htt  myo9aa  trip4  lmod1b  rap1ab  sap130a  rxfp3.3a2  drd4b  rgs12b  dok7  adra2c  stox1  ccar1  myzap  sp7  tarbp2  gpr161  e2f5  ackr4a  prox1a  or135-1  si:ch211-218g4.2  anos1b"
74,"Multicellular organismal process "," irx5a  kdm6a  fbxl18  slc39a6  top2b  ctps1b  pbx2  plk1  ttc39c  lmx1bb  sez6l2  cib2  shank3a  angptl2b  kctd13  hirip3  lats1  ush2a  nf1b  taok2a  kcnk5b  pak2b  maza  nlk1  megf8  id2a  irx2a  irx1a  polr1c  pnpla6  mapk3  anln  plppr1  skib  cryaba  nkd1  cylda  sall1a  sclt1  th  lft2  tbx20  aldh1a2  epcam  adgra2  htt  myo9aa  trip4  lmod1b  sap130a  setb  dok7  sptan1  amotl2a  wdr11  adra2c  tet1  myzap  sp7  vdac2  lrp1aa  nuf2  ccdc80  and2  gpr161  mipb  itga5  cenpf  prox1a  myo5b  sulf2b  slc12a5b  anos1b  pacrg"
70,"Developmental process "," irx5a  kdm6a  palm1a  fbxl18  slc39a6  top2b  ctps1b  pbx2  plk1  ttc39c  lmx1bb  sez6l2  cib2  shank3a  angptl2b  kctd13  hirip3  lats1  ush2a  nf1b  taok2a  kcnk5b  pak2b  maza  nlk1  megf8  id2a  irx2a  irx1a  polr1c  pnpla6  mapk3  anln  plppr1  skib  cryaba  nkd1  cylda  sall1a  sclt1  th  lft2  tbx20  aldh1a2  epcam  adgra2  htt  myo9aa  trip4  sap130a  setb  dok7  sptan1  amotl2a  wdr11  sp7  vdac2  lrp1aa  nuf2  ccdc80  and2  gpr161  mipb  itga5  cenpf  prox1a  myo5b  slc12a5b  anos1b  pacrg"
70,"Anatomical structure development "," irx5a  kdm6a  palm1a  fbxl18  slc39a6  top2b  ctps1b  pbx2  plk1  ttc39c  lmx1bb  sez6l2  cib2  shank3a  angptl2b  kctd13  hirip3  lats1  ush2a  nf1b  taok2a  kcnk5b  pak2b  maza  nlk1  megf8  id2a  irx2a  irx1a  polr1c  pnpla6  mapk3  anln  plppr1  skib  cryaba  nkd1  cylda  sall1a  sclt1  th  lft2  tbx20  aldh1a2  epcam  adgra2  htt  myo9aa  trip4  sap130a  setb  dok7  sptan1  amotl2a  wdr11  sp7  vdac2  lrp1aa  nuf2  ccdc80  and2  gpr161  mipb  itga5  cenpf  prox1a  myo5b  slc12a5b  anos1b  pacrg"
63,"Response to stimulus "," ercc3  ank1a  arhgdia  efna2b  pde3a  top2b  phf1  rgl2  ralgps1  plcl2  cib2  angptl2b  kctd13  lats1  ush2a  nf1b  DNAJA4  nlk1  ticam1  trpm1b  id2a  apbb1ip  fzd3b  cdc42bpaa  pnpla6  depdc7b  penkb  gpr158a  dixdc1a  pkn3  plch2b  adam10a  adcy7  nkd1  sall1a  nsmaf  tmem198b  grk4  lipca  rabif  aldh1a2  inpp5d  gpr17  adrb3a  prlhr2a  adgra2  htt  myo9aa  trip4  rap1ab  sap130a  rxfp3.3a2  drd4b  rgs12b  dok7  adra2c  tet1  myzap  f5  gpr161  ackr4a  or135-1  si:ch211-218g4.2"
53,"Cellular response to stimulus "," ercc3  ank1a  arhgdia  efna2b  pde3a  phf1  rgl2  ralgps1  plcl2  angptl2b  kctd13  lats1  nf1b  nlk1  trpm1b  id2a  apbb1ip  fzd3b  cdc42bpaa  pnpla6  depdc7b  penkb  gpr158a  dixdc1a  pkn3  plch2b  adam10a  adcy7  nkd1  sall1a  nsmaf  tmem198b  grk4  rabif  aldh1a2  inpp5d  gpr17  adrb3a  prlhr2a  adgra2  htt  myo9aa  rap1ab  rxfp3.3a2  drd4b  rgs12b  adra2c  tet1  myzap  gpr161  ackr4a  or135-1  si:ch211-218g4.2"
49,"Signaling "," ank1a  arhgdia  efna2b  pde3a  rgl2  ralgps1  plcl2  angptl2b  kctd13  lats1  nf1b  nlk1  trpm1b  id2a  apbb1ip  fzd3b  cdc42bpaa  pnpla6  depdc7b  penkb  gpr158a  dixdc1a  pkn3  plch2b  adam10a  adcy7  nkd1  sall1a  tmem198b  grk4  rabif  aldh1a2  gpr17  adrb3a  prlhr2a  adgra2  htt  myo9aa  rap1ab  rxfp3.3a2  drd4b  rgs12b  adra2c  myzap  gpr161  ackr4a  or135-1  si:ch211-218g4.2  slc12a5b"
42,"Anatomical structure morphogenesis "," kdm6a  palm1a  slc39a6  top2b  pbx2  ttc39c  lmx1bb  shank3a  angptl2b  kctd13  lats1  ush2a  kcnk5b  megf8  id2a  irx2a  irx1a  polr1c  pnpla6  mapk3  skib  cryaba  nkd1  cylda  sall1a  lft2  tbx20  aldh1a2  epcam  adgra2  htt  myo9aa  trip4  sap130a  amotl2a  sp7  ccdc80  mipb  itga5  cenpf  prox1a  myo5b"
40,"Localization "," kdm6a  slc39a6  ankha  cacng3a  tap1  fscn1b  slc35b1  ipo7  kcnk5b  megf8  trpm1b  si:dkey-183j2.10  nkd1  mon1bb  nsmaf  slc4a2b  aqp9b  inpp5d  slc4a7  epcam  ipo9  ADAMTS7  sytl1  si:dkey-43k4.5  wdr34  amotl2a  wdr11  slc25a16  vdac2  slc35a5  gpr161  si:ch211-106h4.9  mipb  itga5  kcnk2a  prox1a  snx9a  myo5b  slc12a5b  anos1b"
35,"Biosynthetic process "," ebf2  irx5a  ercc3  si:dkey-37o8.1  myca  ctps1b  pbx2  taf12  lmx1bb  si:dkey-61p9.11  pigx  rps27l  pdss1  id2a  oxsm  gad2  irx2a  irx1a  chchd1  polr1c  ldb1a  adcy7  th  tbx20  got1l1  MAF  trip4  sap130a  stox1  ccar1  eif4e1c  e2f5  prox1a  eif2d"
32,"Cellular component organization or biogenesis "," fam49bb  top2b  ttc39c  fscn1b  kctd13  kctd3  trpm1b  abi1a  cdc42bpaa  polr1c  pnpla6  mapk3  anln  cryaba  sclt1  myo9aa  trip4  lmod1b  setb  si:dkey-43k4.5  wdr34  dok7  sptan1  amotl2a  wdr11  zgc:110319  spo11  itga5  cenpf  prox1a  myo5b  eif2d"
31,"Cellular component organization "," fam49bb  top2b  ttc39c  fscn1b  kctd13  kctd3  trpm1b  abi1a  cdc42bpaa  pnpla6  mapk3  anln  cryaba  sclt1  myo9aa  trip4  lmod1b  setb  si:dkey-43k4.5  wdr34  dok7  sptan1  amotl2a  wdr11  zgc:110319  spo11  itga5  cenpf  prox1a  myo5b  eif2d"
30,"Establishment of localization "," slc39a6  ankha  cacng3a  tap1  slc35b1  ipo7  kcnk5b  trpm1b  si:dkey-183j2.10  nkd1  mon1bb  slc4a2b  aqp9b  slc4a7  ipo9  ADAMTS7  sytl1  si:dkey-43k4.5  wdr34  amotl2a  slc25a16  vdac2  slc35a5  gpr161  si:ch211-106h4.9  mipb  kcnk2a  snx9a  myo5b  slc12a5b"
23,"Regulation of metabolic process "," ebf2  irx5a  myca  recql5  phf1  pbx2  lmx1bb  id2a  irx2a  irx1a  ldb1a  tbx20  MAF  trip4  sap130a  dok7  stox1  ccar1  tet1  tarbp2  e2f5  prox1a"
18,"Cellular component biogenesis "," fam49bb  ttc39c  kctd13  kctd3  trpm1b  polr1c  cryaba  lmod1b  setb  si:dkey-43k4.5  dok7  amotl2a  wdr11  zgc:110319  itga5  cenpf  prox1a  eif2d"
17,"Locomotion "," kdm6a  slc39a6  top2b  fscn1b  megf8  nsmaf  inpp5d  epcam  trip4  sap130a  dok7  amotl2a  wdr11  ackr4a  itga5  prox1a  anos1b"
17,"Anatomical structure formation involved in morphogenesis "," top2b  lmx1bb  angptl2b  lats1  cryaba  nkd1  lft2  tbx20  aldh1a2  adgra2  htt  sap130a  amotl2a  sp7  ccdc80  itga5  prox1a"
15,"Regulation of signaling "," ralgps1  plcl2  angptl2b  kctd13  nf1b  nlk1  id2a  pnpla6  nkd1  sall1a  tmem198b  grk4  aldh1a2  adgra2  htt"
15,"Regulation of response to stimulus "," ralgps1  angptl2b  kctd13  nf1b  nlk1  id2a  pnpla6  nkd1  sall1a  tmem198b  grk4  aldh1a2  inpp5d  adgra2  htt"
14,"Negative regulation of biological process "," recql5  ing5a  kctd13  nf1b  nlk1  id2a  pnpla6  nkd1  tbx20  inpp5d  lmod1b  tarbp2  prox1a  anos1b"
13,"Regulation of biological quality "," palm1a  fam49bb  kcnk5b  gad2  aldh1a2  htt  lmod1b  amotl2a  adra2c  vwf  f5  myo5b  sulf2b"
12,"Response to external stimulus "," top2b  cib2  ush2a  ticam1  nsmaf  inpp5d  trip4  sap130a  dok7  tet1  f5  ackr4a"
12,"Cell motility "," kdm6a  slc39a6  fscn1b  megf8  nsmaf  inpp5d  epcam  amotl2a  wdr11  itga5  prox1a  anos1b"
12,"Localization of cell "," kdm6a  slc39a6  fscn1b  megf8  nsmaf  inpp5d  epcam  amotl2a  wdr11  itga5  prox1a  anos1b"
11,"Response to chemical "," top2b  lats1  id2a  pnpla6  sall1a  nsmaf  lipca  inpp5d  drd4b  tet1  ackr4a"
10,"System process "," shank3a  ush2a  nf1b  anln  cryaba  lmod1b  adra2c  myzap  vdac2  myo5b"
10,"Cellular localization "," ipo7  nkd1  mon1bb  ipo9  sytl1  wdr34  amotl2a  si:ch211-106h4.9  snx9a  myo5b"
9,"Positive regulation of biological process "," angptl2b  kctd13  nlk1  sall1a  tmem198b  grk4  adgra2  htt  dok7"
8,"Response to stress "," ercc3  phf1  DNAJA4  ticam1  id2a  nsmaf  adra2c  tet1"
8,"Macromolecule localization "," ipo7  nkd1  mon1bb  ipo9  sytl1  si:ch211-106h4.9  snx9a  myo5b"
8,"Regulation of developmental process "," irx5a  palm1a  nf1b  nlk1  id2a  tbx20  amotl2a  lrp1aa"
7,"Cell population proliferation "," ing5a  kctd13  nf1b  id2a  tbx20  amotl2a  sp7"
7,"Catabolic process "," ALDOA  galt  usp3  acbd5a  ngly1  cylda  tet1"
7,"Taxis "," top2b  nsmaf  inpp5d  trip4  sap130a  dok7  ackr4a"
7,"Regulation of multicellular organismal process "," irx5a  nlk1  tbx20  adra2c  tet1  vdac2  lrp1aa"
7,"Regulation of molecular function "," asap1b  sbf2  nf1b  si:dkey-191g9.5  myo9aa  dok7  prox1a"
6,"Behavior "," cib2  shank3a  nf1b  cryaba  myo9aa  sap130a"
6,"Growth "," tbx20  aldh1a2  myo9aa  vdac2  itga5  myo5b"
6,"Response to endogenous stimulus "," lats1  id2a  pnpla6  sall1a  lipca  drd4b"
6,"Developmental growth "," tbx20  aldh1a2  myo9aa  vdac2  itga5  myo5b"
5,"Immune system process "," angptl2b  ticam1  nsmaf  tbx20  inpp5d"
5,"Response to abiotic stimulus "," cib2  ush2a  DNAJA4  trpm1b  tet1"
5,"Regulation of localization "," nkd1  inpp5d  gpr161  prox1a  anos1b"
4,"Biological adhesion "," epcam  htt  epdr1  itga5"
4,"Cell adhesion "," epcam  htt  epdr1  itga5"
