"N","High level GO category","Genes"
84,"Membrane "," slc22a7b.1  stoml3a  slc6a5  si:dkey-22o22.2  vamp1  si:ch73-160i9.1  KCNV1  lim2.4  SLC7A1  sec61b  slc30a8  si:dkey-211g8.6  ext1b  atp1b1a  uqcrb  cox10  chst3a  cdhr1a  sfxn3  fads2  slc24a1  nlgn2b  B3GAT1  rgra  slc18a3a  ankha  efnb3a  stoml1  NDUFA7  b3gnt3.4  jak3  slc5a5  syt7a  KCNN1  si:ch73-61d6.3  TENM3  sorcs2  hs2st1b  XKR7  OPRL1  NPBWR1  tomm5  slc9a3.2  kcnab2a  kcnh6a  kdr  slc4a1a  tspan2a  slc5a8l  slc16a1a  chst14  tomm40l  surf4  chsy3  slc27a6  cers2a  slc9a5  slc12a2  rhbdl3  grin2bb  emp1  grik1a  EPHB3  nrp2a  slco2a1  ryk  cltca  slc2a12  slc25a38b  slc25a46  ntrk2b  ptprt  rhbdd1  RALB  pth2rb  acer2  FUT9  ptger1a  adipor2  pigu  CDH4"
62,"Intracellular anatomical structure "," mych  rad21b  alg2  sec61b  meaf6  map7d1b  ext1b  phkg1a  rfx5  psmb4  trim8a  gatad1  uqcrb  rab11a  SH3GL1  rps19  chst3a  ints14  nr2e3  cyp11a2  rps28  NDUFA7  jak3  topbp1  babam1  tbx5a  ddx54  clocka  ADRM1  myt1a  tomm5  rab14l  kcnab2a  exosc2  ptcd2  map1b  exoc1  tomm40l  chsy3  skib  gata3  tuba1a  prph  dnah1  cltca  ing4  rps12  slc25a38b  rpsa  anapc4  slc25a46  wdr36  ctnna2  camk4  IWS1  cog6  ccdc151  ptpn4b  larp7  pigu  trps1  bnc2"
56,"Organelle "," mych  rad21b  alg2  sec61b  meaf6  map7d1b  ext1b  rfx5  trim8a  gatad1  uqcrb  rab11a  rps19  chst3a  ints14  nr2e3  cyp11a2  rps28  NDUFA7  jak3  topbp1  babam1  tbx5a  ddx54  clocka  ADRM1  myt1a  tomm5  rab14l  ptcd2  map1b  tomm40l  chsy3  skib  gata3  tuba1a  prph  dnah1  cltca  ing4  rps12  slc25a38b  rpsa  anapc4  slc25a46  wdr36  ctnna2  camk4  IWS1  cog6  ccdc151  ptpn4b  larp7  pigu  trps1  bnc2"
56,"Intracellular organelle "," mych  rad21b  alg2  sec61b  meaf6  map7d1b  ext1b  rfx5  trim8a  gatad1  uqcrb  rab11a  rps19  chst3a  ints14  nr2e3  cyp11a2  rps28  NDUFA7  jak3  topbp1  babam1  tbx5a  ddx54  clocka  ADRM1  myt1a  tomm5  rab14l  ptcd2  map1b  tomm40l  chsy3  skib  gata3  tuba1a  prph  dnah1  cltca  ing4  rps12  slc25a38b  rpsa  anapc4  slc25a46  wdr36  ctnna2  camk4  IWS1  cog6  ccdc151  ptpn4b  larp7  pigu  trps1  bnc2"
51,"Intrinsic component of membrane "," slc22a7b.1  slc6a5  vamp1  si:ch73-160i9.1  KCNV1  lim2.4  SLC7A1  slc30a8  si:dkey-211g8.6  ext1b  atp1b1a  uqcrb  cox10  fads2  slc24a1  nlgn2b  rgra  slc18a3a  ankha  KCNN1  si:ch73-61d6.3  TENM3  sorcs2  hs2st1b  XKR7  OPRL1  NPBWR1  slc9a3.2  kcnab2a  kdr  slc4a1a  tspan2a  slc16a1a  chst14  surf4  slc27a6  cers2a  slc9a5  slc12a2  rhbdl3  emp1  EPHB3  slc2a12  ntrk2b  rhbdd1  pth2rb  acer2  ptger1a  adipor2  pigu"
43,"Membrane-bounded organelle "," mych  alg2  sec61b  meaf6  ext1b  rfx5  trim8a  gatad1  uqcrb  rab11a  chst3a  ints14  nr2e3  cyp11a2  NDUFA7  topbp1  babam1  tbx5a  ddx54  clocka  ADRM1  myt1a  tomm5  rab14l  ptcd2  tomm40l  chsy3  skib  gata3  cltca  ing4  slc25a38b  anapc4  slc25a46  wdr36  camk4  IWS1  cog6  ccdc151  larp7  pigu  trps1  bnc2"
25,"Protein-containing complex "," utp23  rad21b  KCNV1  sec61b  meaf6  phkg1a  atp1b1a  psmb4  sufu  uqcrb  ints14  babam1  clocka  tomm5  exosc2  exoc1  dnah1  cltca  ing4  rpsa  anapc4  wdr36  cog6  larp7  pigu"
23,"Cell periphery "," slc22a7b.1  stoml3a  si:dkey-22o22.2  KCNV1  atp1b1a  cdhr1a  nlgn2b  stoml1  slc16a1a  exoc1  fbn2a  EFEMP1  slc12a2  mmp19  EPHB3  ryk  cltca  prelp  ntrk2b  RALB  CDH4"
18,"Plasma membrane "," slc22a7b.1  stoml3a  si:dkey-22o22.2  KCNV1  atp1b1a  cdhr1a  nlgn2b  stoml1  slc16a1a  slc12a2  EPHB3  ryk  cltca  ntrk2b  RALB  CDH4"
18,"Non-membrane-bounded organelle "," rad21b  map7d1b  gatad1  rps19  rps28  jak3  tbx5a  clocka  map1b  tuba1a  prph  dnah1  rps12  rpsa  wdr36  ctnna2  ccdc151  ptpn4b"
