"","Var1","Freq"
"1","0",1297951
"2","1",3617245
"3","2",2207133
"4","3",1446203
"5","4",960706
"6","5",699296
"7","6",542828
"8","7",439312
"9","8",368085
"10","9",317610
"11","10",280183
"12","11",249704
"13","12",226377
"14","13",207354
"15","14",193187
"16","15",180387
"17","16",170022
"18","17",161440
"19","18",151474
"20","19",139685
"21","20",126764
"22","21",112907
"23","22",99811
"24","23",87332
"25","24",74278
"26","25",63032
"27","26",52330
"28","27",41803
"29","28",33278
"30","29",25342
"31","30",19019
"32","31",13796
"33","32",10069
"34","33",7162
"35","34",5026
"36","35",3420
"37","36",2399
"38","37",1566
"39","38",1027
"40","39",688
"41","40",468
"42","41",313
"43","42",162
"44","43",130
"45","44",85
"46","45",63
"47","46",42
"48","47",28
"49","48",13
"50","49",20
"51","50",15
"52","51",16
"53","52",19
"54","53",13
"55","54",16
"56","55",17
"57","56",10
"58","57",5
"59","58",13
"60","59",16
"61","60",9
"62","61",7
"63","62",10
"64","63",5
"65","64",1
"66","65",4
"67","66",1
"68","67",1
"69","68",1
"70","69",3
"71","71",2
"72","72",2
"73","73",4
