"chr","pos","AF","Effect","Putative_impact","Gene_name","Gene_ID","Feature type"
"chr1",15707692,0.489,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15720516,0.058,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15720710,0.143,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15746297,0.156,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15746360,0.32,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15746361,0.321,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15746459,0.686,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15746504,0.643,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15746508,0.211,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15746515,0.678,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15746543,0.362,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15746657,0.226,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15752996,0.056,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15783187,0.355,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15793575,0.083,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15793628,0.133,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15807845,0.118,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15817790,0.056,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15818262,0.051,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15842009,0.137,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15842088,0.157,"intergenic_region","MODIFIER","ENSCHAG00000015453-ENSCHAG00000015454","ENSCHAG00000015453-ENSCHAG00000015454",""
"chr1",15927079,0.224,"intergenic_region","MODIFIER","ENSCHAG00000015454-RBFOX3","ENSCHAG00000015454-ENSCHAG00000015461",""
"chr1",15935984,0.065,"intergenic_region","MODIFIER","ENSCHAG00000015454-RBFOX3","ENSCHAG00000015454-ENSCHAG00000015461",""
"chr1",15945810,0.054,"intergenic_region","MODIFIER","ENSCHAG00000015454-RBFOX3","ENSCHAG00000015454-ENSCHAG00000015461",""
"chr1",15963008,0.17,"intron_variant","MODIFIER","RBFOX3","ENSCHAG00000015461","protein_coding"
"chr1",15966891,0.109,"intron_variant","MODIFIER","RBFOX3","ENSCHAG00000015461","protein_coding"
"chr1",15967026,0.101,"intron_variant","MODIFIER","RBFOX3","ENSCHAG00000015461","protein_coding"
"chr1",15973146,0.061,"intron_variant","MODIFIER","RBFOX3","ENSCHAG00000015461","protein_coding"
"chr1",15973186,0.061,"intron_variant","MODIFIER","RBFOX3","ENSCHAG00000015461","protein_coding"
"chr1",15981765,0.091,"intron_variant","MODIFIER","RBFOX3","ENSCHAG00000015461","protein_coding"
"chr1",15981828,0.392,"intron_variant","MODIFIER","RBFOX3","ENSCHAG00000015461","protein_coding"
"chr1",15992964,0.132,"upstream_gene_variant","MODIFIER","RBFOX3","ENSCHAG00000015461","protein_coding"
"chr1",32648741,0.122,"intergenic_region","MODIFIER","ENSCHAG00000014881-ENSCHAG00000014882","ENSCHAG00000014881-ENSCHAG00000014882",""
"chr1",32714963,0.098,"intergenic_region","MODIFIER","ENSCHAG00000014882-ENSCHAG00000014884","ENSCHAG00000014882-ENSCHAG00000014884",""
"chr1",32738161,0.338,"intergenic_region","MODIFIER","ENSCHAG00000014896-desi1a","ENSCHAG00000014896-ENSCHAG00000014899",""
"chr1",32764531,0.115,"intergenic_region","MODIFIER","ENSCHAG00000014896-desi1a","ENSCHAG00000014896-ENSCHAG00000014899",""
