# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSCHAG00000018938	ENSCHAT00000043766	rRNA	0	0	0	15	0	0	0	2	0	0	0	0	0	0	13
ACSF3	ENSCHAG00000022016	ENSCHAT00000051994	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0
ACSF3	ENSCHAG00000022016	ENSCHAT00000052044	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0
ACSF3	ENSCHAG00000022016	ENSCHAT00000052139	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0
ACSF3	ENSCHAG00000022016	ENSCHAT00000052172	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0
ACSF3	ENSCHAG00000022016	ENSCHAT00000052195	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0
ACSF3	ENSCHAG00000022016	ENSCHAT00000052212	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0
ACSF3	ENSCHAG00000022016	ENSCHAT00000052229	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0
ACSF3	ENSCHAG00000022016	ENSCHAT00000052244	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0
ACSF3	ENSCHAG00000022016	ENSCHAT00000052292	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0
BRSK2	ENSCHAG00000017077	ENSCHAT00000039449	protein_coding	0	0	0	26	0	0	0	2	23	0	0	0	0	0	1
BRSK2	ENSCHAG00000017077	ENSCHAT00000039466	protein_coding	0	0	0	26	0	0	0	2	23	0	0	0	0	0	1
BRSK2	ENSCHAG00000017077	ENSCHAT00000039478	protein_coding	0	0	0	24	0	0	0	2	21	0	0	0	0	0	1
BRSK2	ENSCHAG00000017077	ENSCHAT00000039494	protein_coding	0	0	0	24	0	0	0	2	21	0	0	0	0	0	1
BRSK2	ENSCHAG00000017077	ENSCHAT00000039510	protein_coding	0	0	0	24	0	0	0	2	21	0	0	0	0	0	1
BRSK2	ENSCHAG00000017077	ENSCHAT00000039524	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	1
DNAJA4	ENSCHAG00000009400	ENSCHAT00000020220	protein_coding	0	0	0	4	0	0	0	1	2	0	0	0	0	0	1
DST	ENSCHAG00000018616	ENSCHAT00000067050	protein_coding	0	0	0	20	0	0	0	0	18	0	0	0	0	0	2
DST	ENSCHAG00000018616	ENSCHAT00000067053	protein_coding	0	0	0	20	0	0	0	0	18	0	0	0	0	0	2
DST	ENSCHAG00000018616	ENSCHAT00000067061	protein_coding	0	0	0	20	0	0	0	0	18	0	0	0	0	0	2
DST	ENSCHAG00000018616	ENSCHAT00000067062	protein_coding	0	0	0	20	0	0	0	0	18	0	0	0	0	0	2
DST	ENSCHAG00000018616	ENSCHAT00000067064	protein_coding	0	0	0	20	0	0	0	0	18	0	0	0	0	0	2
DST	ENSCHAG00000018616	ENSCHAT00000067065	protein_coding	0	0	0	18	0	0	0	0	17	0	0	0	0	0	1
DST	ENSCHAG00000018616	ENSCHAT00000067068	protein_coding	0	0	0	14	0	0	0	0	10	0	0	0	0	0	4
DST	ENSCHAG00000018616	ENSCHAT00000067072	protein_coding	0	0	0	9	0	0	0	0	7	0	0	0	0	0	2
DST	ENSCHAG00000018616	ENSCHAT00000067084	protein_coding	0	0	0	10	0	0	0	0	9	0	0	0	0	0	1
ENSCHAG00000000252	ENSCHAG00000000252	ENSCHAT00000000428		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0
ENSCHAG00000000329	ENSCHAG00000000329	ENSCHAT00000000538	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000000374	ENSCHAG00000000374	ENSCHAT00000000600		0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000000394	ENSCHAG00000000394	ENSCHAT00000000659	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0
ENSCHAG00000000431	ENSCHAG00000000431	ENSCHAT00000000698	protein_coding	0	0	1	14	0	0	0	2	12	1	0	0	0	0	0
ENSCHAG00000000437	ENSCHAG00000000437	ENSCHAT00000000715	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000000883	ENSCHAG00000000883	ENSCHAT00000001393	protein_coding	0	0	2	4	0	0	0	3	0	2	0	0	0	0	1
ENSCHAG00000000902	ENSCHAG00000000902	ENSCHAT00000001432	protein_coding	0	2	3	11	0	0	0	0	0	3	0	0	0	2	11
ENSCHAG00000000932	ENSCHAG00000000932	ENSCHAT00000001491	protein_coding	0	0	4	12	0	0	0	8	1	4	0	0	0	0	3
ENSCHAG00000000960	ENSCHAG00000000960	ENSCHAT00000001669	protein_coding	0	0	0	15	0	0	0	0	15	0	0	0	0	0	0
ENSCHAG00000000966	ENSCHAG00000000966	ENSCHAT00000001553	protein_coding	0	0	0	16	0	0	0	13	0	0	0	0	0	0	3
ENSCHAG00000000994	ENSCHAG00000000994	ENSCHAT00000001594	protein_coding	0	2	1	20	0	0	0	14	6	1	0	0	0	2	0
ENSCHAG00000001019	ENSCHAG00000001019	ENSCHAT00000001610		0	0	0	25	0	0	0	21	0	0	0	0	0	0	4
ENSCHAG00000001026	ENSCHAG00000001026	ENSCHAT00000001623	protein_coding	0	0	0	27	0	0	0	21	0	0	0	0	0	0	6
ENSCHAG00000001087	ENSCHAG00000001087	ENSCHAT00000001723	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
ENSCHAG00000001092	ENSCHAG00000001092	ENSCHAT00000001738	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	3
ENSCHAG00000001118	ENSCHAG00000001118	ENSCHAT00000001761	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000001153	ENSCHAG00000001153	ENSCHAT00000001815		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000001154	ENSCHAG00000001154	ENSCHAT00000001816	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000001154	ENSCHAG00000001154	ENSCHAT00000001836	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000001249	ENSCHAG00000001249	ENSCHAT00000001952	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000001342	ENSCHAG00000001342	ENSCHAT00000002110	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8
ENSCHAG00000001408	ENSCHAG00000001408	ENSCHAT00000002214		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000001451	ENSCHAG00000001451	ENSCHAT00000002303		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001455	ENSCHAG00000001455	ENSCHAT00000002307		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001460	ENSCHAG00000001460	ENSCHAT00000002310		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001670	ENSCHAG00000001670	ENSCHAT00000002731	protein_coding	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0
ENSCHAG00000001741	ENSCHAG00000001741	ENSCHAT00000002892	pseudogene	0	0	0	6	0	0	0	2	1	0	0	0	0	0	3
ENSCHAG00000001776	ENSCHAG00000001776	ENSCHAT00000003308	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0
ENSCHAG00000001776	ENSCHAG00000001776	ENSCHAT00000003371	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0
ENSCHAG00000001776	ENSCHAG00000001776	ENSCHAT00000003410	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0
ENSCHAG00000001776	ENSCHAG00000001776	ENSCHAT00000003440	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0
ENSCHAG00000001860	ENSCHAG00000001860	ENSCHAT00000003140	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ENSCHAG00000001860	ENSCHAG00000001860	ENSCHAT00000003172	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ENSCHAG00000001955	ENSCHAG00000001955	ENSCHAT00000003352	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000002132	ENSCHAG00000002132	ENSCHAT00000003722		0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
ENSCHAG00000002206	ENSCHAG00000002206	ENSCHAT00000003885	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000002206	ENSCHAG00000002206	ENSCHAT00000003902	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000002304	ENSCHAG00000002304	ENSCHAT00000004083		0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000002304	ENSCHAG00000002304	ENSCHAT00000004096		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000002304	ENSCHAG00000002304	ENSCHAT00000004103		0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000002372	ENSCHAG00000002372	ENSCHAT00000004282	protein_coding	0	0	0	8	0	0	0	1	3	0	0	0	0	0	4
