"","CHROM","midPos","fst","nloci","p","pop"
"1","chr1",25000,0.0155156569246463,7,1,"TB06_TB96"
"2","chr1",75000,0.0257705511399679,4,1,"TB06_TB96"
"3","chr1",125000,0.00676322308858819,15,1,"TB06_TB96"
"4","chr1",175000,0.00777187950734241,57,1,"TB06_TB96"
"5","chr1",225000,0.00554436661640917,26,1,"TB06_TB96"
"6","chr1",275000,0.00572095854327125,39,1,"TB06_TB96"
"7","chr1",325000,0.00965922153712451,60,1,"TB06_TB96"
"8","chr1",375000,0.00573080521428466,30,1,"TB06_TB96"
"9","chr1",425000,0.0227220477923306,15,1,"TB06_TB96"
"10","chr1",475000,0.00650207192572454,12,1,"TB06_TB96"
"11","chr1",525000,0.00684046285000966,14,1,"TB06_TB96"
"12","chr1",575000,0.00320612927946149,7,1,"TB06_TB96"
"13","chr1",625000,0.00265298140468535,7,1,"TB06_TB96"
"14","chr1",675000,0.00618202157723375,5,1,"TB06_TB96"
"15","chr1",725000,0.00818938629124884,26,1,"TB06_TB96"
"16","chr1",775000,0.0125923581786814,41,1,"TB06_TB96"
"17","chr1",825000,0.00664168183278629,12,1,"TB06_TB96"
"18","chr1",875000,0.00341272969776823,2,1,"TB06_TB96"
"19","chr1",925000,0.0094747843820368,25,1,"TB06_TB96"
"20","chr1",975000,0.00672020058641541,40,1,"TB06_TB96"
"21","chr1",1025000,0.00906007080112923,25,1,"TB06_TB96"
"22","chr1",1075000,0.0262288813182229,1,1,"TB06_TB96"
"23","chr1",1125000,0.010707307599234,30,1,"TB06_TB96"
"24","chr1",1225000,0.00668627042727925,15,1,"TB06_TB96"
"25","chr1",1275000,0.00995412422832265,35,1,"TB06_TB96"
"26","chr1",1325000,0.00737064589837363,32,1,"TB06_TB96"
"27","chr1",1375000,0.012987012987013,1,1,"TB06_TB96"
"28","chr1",1425000,0.00445702249747548,9,1,"TB06_TB96"
"29","chr1",1475000,0.00629579075983338,10,1,"TB06_TB96"
"30","chr1",1525000,0.0113874890008799,31,1,"TB06_TB96"
"31","chr1",1575000,0.0271399354023939,17,1,"TB06_TB96"
"32","chr1",1625000,0.0105919871178716,15,1,"TB06_TB96"
"33","chr1",1675000,0.00845264339145489,40,1,"TB06_TB96"
"34","chr1",1725000,0.00577655932653456,11,1,"TB06_TB96"
"35","chr1",1775000,0.00788474210246562,10,1,"TB06_TB96"
"36","chr1",1825000,0.00618322431285229,71,1,"TB06_TB96"
"37","chr1",1875000,0.00893931140497398,79,1,"TB06_TB96"
"38","chr1",1925000,0.00536601367204062,43,1,"TB06_TB96"
"39","chr1",1975000,0.00749210924453746,51,1,"TB06_TB96"
"40","chr1",2025000,0.00779070930509462,41,1,"TB06_TB96"
"41","chr1",2075000,0.00921125313994596,33,1,"TB06_TB96"
"42","chr1",2125000,0.0075030639852427,22,1,"TB06_TB96"
"43","chr1",2175000,0.0139361875918921,13,1,"TB06_TB96"
"44","chr1",2225000,0.00866243114936538,12,1,"TB06_TB96"
"45","chr1",2275000,0.00342145949022919,4,1,"TB06_TB96"
"46","chr1",2375000,0.0111847763881405,5,1,"TB06_TB96"
"47","chr1",2425000,0.00338447732522882,13,1,"TB06_TB96"
"48","chr1",2475000,0.0175985647018718,21,1,"TB06_TB96"
"49","chr1",2525000,0.00816472868478265,34,1,"TB06_TB96"
"50","chr1",2575000,0.00998693095679248,38,1,"TB06_TB96"
"51","chr1",2625000,0.00626453086050519,136,1,"TB06_TB96"
"52","chr1",2675000,0.00765912606733991,52,1,"TB06_TB96"
"53","chr1",2725000,0.00993089798102427,16,1,"TB06_TB96"
"54","chr1",2775000,0.00823137236580431,11,1,"TB06_TB96"
"55","chr1",2825000,0.0100628102958778,29,1,"TB06_TB96"
"56","chr1",2875000,0.00665908861502886,15,1,"TB06_TB96"
"57","chr1",2925000,0.00669108284859042,23,1,"TB06_TB96"
"58","chr1",2975000,0.0097477609492184,38,1,"TB06_TB96"
"59","chr1",3025000,0.00758296400962061,48,1,"TB06_TB96"
"60","chr1",3075000,0.0103531504065041,49,1,"TB06_TB96"
"61","chr1",3125000,0.00737073562522219,29,1,"TB06_TB96"
"62","chr1",3175000,0.0269520722121959,16,1,"TB06_TB96"
"63","chr1",3225000,0.017755377075137,5,1,"TB06_TB96"
"64","chr1",3275000,0.00781307396706544,19,1,"TB06_TB96"
"65","chr1",3325000,0.00633798914033134,12,1,"TB06_TB96"
"66","chr1",3375000,0.00552907009343585,17,1,"TB06_TB96"
"67","chr1",3425000,0.00598584945052989,13,1,"TB06_TB96"
"68","chr1",3475000,0.0153175864011478,20,1,"TB06_TB96"
"69","chr1",3525000,0.0139019561919738,19,1,"TB06_TB96"
"70","chr1",3575000,0.00583101012805099,11,1,"TB06_TB96"
"71","chr1",3625000,0.00997362486143496,7,1,"TB06_TB96"
"72","chr1",3675000,0.0117330193106076,7,1,"TB06_TB96"
"73","chr1",3725000,0.00534227638898581,12,1,"TB06_TB96"
"74","chr1",3775000,0.00545009941930728,17,1,"TB06_TB96"
"75","chr1",3825000,0.00895124307530447,37,1,"TB06_TB96"
