"chr","pos","AF","Effect","Putative_impact","Gene_name","Gene_ID","Feature type"
"chr1",32500947,0.067,"upstream_gene_variant","MODIFIER","ENSCHAG00000014801","ENSCHAG00000014801","protein_coding"
"chr1",32500979,0.064,"upstream_gene_variant","MODIFIER","ENSCHAG00000014801","ENSCHAG00000014801","protein_coding"
"chr1",32500985,0.057,"upstream_gene_variant","MODIFIER","ENSCHAG00000014801","ENSCHAG00000014801","protein_coding"
"chr1",32501082,0.062,"upstream_gene_variant","MODIFIER","ENSCHAG00000014801","ENSCHAG00000014801","protein_coding"
"chr1",32501584,0.057,"upstream_gene_variant","MODIFIER","ENSCHAG00000014801","ENSCHAG00000014801","protein_coding"
"chr1",32501619,0.079,"upstream_gene_variant","MODIFIER","ENSCHAG00000014801","ENSCHAG00000014801","protein_coding"
"chr1",32509147,0.121,"3_prime_UTR_variant","MODIFIER","ENSCHAG00000014813","ENSCHAG00000014813","protein_coding"
"chr1",32509250,0.15,"splice_region_variant","LOW","ENSCHAG00000014813","ENSCHAG00000014813","protein_coding"
"chr1",32509488,0.135,"upstream_gene_variant","MODIFIER","slc25a17","ENSCHAG00000014815","protein_coding"
"chr1",32509688,0.072,"upstream_gene_variant","MODIFIER","slc25a17","ENSCHAG00000014815","protein_coding"
"chr1",32509930,0.084,"upstream_gene_variant","MODIFIER","slc25a17","ENSCHAG00000014815","protein_coding"
"chr1",32510403,0.082,"upstream_gene_variant","MODIFIER","slc25a17","ENSCHAG00000014815","protein_coding"
"chr1",32513278,0.15,"synonymous_variant","LOW","slc25a17","ENSCHAG00000014815","protein_coding"
"chr1",32513281,0.151,"synonymous_variant","LOW","slc25a17","ENSCHAG00000014815","protein_coding"
"chr1",32648741,0.122,"intergenic_region","MODIFIER","ENSCHAG00000014881-ENSCHAG00000014882","ENSCHAG00000014881-ENSCHAG00000014882",""
"chr1",32714963,0.098,"intergenic_region","MODIFIER","ENSCHAG00000014882-ENSCHAG00000014884","ENSCHAG00000014882-ENSCHAG00000014884",""
"chr1",32738161,0.338,"intergenic_region","MODIFIER","ENSCHAG00000014896-desi1a","ENSCHAG00000014896-ENSCHAG00000014899",""
"chr1",32764531,0.115,"intergenic_region","MODIFIER","ENSCHAG00000014896-desi1a","ENSCHAG00000014896-ENSCHAG00000014899",""
"chr1",32764540,0.117,"intergenic_region","MODIFIER","ENSCHAG00000014896-desi1a","ENSCHAG00000014896-ENSCHAG00000014899",""
"chr1",32784273,0.153,"intergenic_region","MODIFIER","ENSCHAG00000014896-desi1a","ENSCHAG00000014896-ENSCHAG00000014899",""
"chr1",32784293,0.144,"intergenic_region","MODIFIER","ENSCHAG00000014896-desi1a","ENSCHAG00000014896-ENSCHAG00000014899",""
"chr3",8302990,0.275,"intron_variant","MODIFIER","ENSCHAG00000007836","ENSCHAG00000007836","protein_coding"
"chr3",8304229,0.099,"downstream_gene_variant","MODIFIER","slc28a1","ENSCHAG00000007904","protein_coding"
"chr3",8305404,0.051,"downstream_gene_variant","MODIFIER","slc28a1","ENSCHAG00000007904","protein_coding"
"chr3",8309180,0.067,"3_prime_UTR_variant","MODIFIER","slc28a1","ENSCHAG00000007904","protein_coding"
"chr3",8311864,0.055,"downstream_gene_variant","MODIFIER","ENSCHAG00000007836","ENSCHAG00000007836","protein_coding"
"chr3",8312303,0.062,"intron_variant","MODIFIER","slc28a1","ENSCHAG00000007904","protein_coding"
"chr3",8315300,0.073,"intron_variant","MODIFIER","slc28a1","ENSCHAG00000007904","protein_coding"
"chr3",8316170,0.072,"upstream_gene_variant","MODIFIER","slc28a1","ENSCHAG00000007904","protein_coding"
"chr3",8316788,0.065,"upstream_gene_variant","MODIFIER","slc28a1","ENSCHAG00000007904","protein_coding"
"chr3",8329180,0.09,"upstream_gene_variant","MODIFIER","ENSCHAG00000008054","ENSCHAG00000008054","protein_coding"
"chr3",8330570,0.069,"upstream_gene_variant","MODIFIER","ENSCHAG00000008054","ENSCHAG00000008054","protein_coding"
"chr3",8334559,0.062,"upstream_gene_variant","MODIFIER","sec11a","ENSCHAG00000008075","protein_coding"
"chr3",8335859,0.14,"upstream_gene_variant","MODIFIER","sec11a","ENSCHAG00000008075","protein_coding"
"chr3",8336524,0.247,"missense_variant","MODERATE","ENSCHAG00000008054","ENSCHAG00000008054","protein_coding"
"chr3",8336943,0.065,"upstream_gene_variant","MODIFIER","sec11a","ENSCHAG00000008075","protein_coding"
"chr3",8337991,0.053,"upstream_gene_variant","MODIFIER","sec11a","ENSCHAG00000008075","protein_coding"
"chr3",8337992,0.052,"upstream_gene_variant","MODIFIER","sec11a","ENSCHAG00000008075","protein_coding"
"chr3",8338156,0.296,"upstream_gene_variant","MODIFIER","sec11a","ENSCHAG00000008075","protein_coding"
"chr3",8338342,0.288,"upstream_gene_variant","MODIFIER","sec11a","ENSCHAG00000008075","protein_coding"
"chr3",8339594,0.051,"downstream_gene_variant","MODIFIER","ENSCHAG00000008054","ENSCHAG00000008054","protein_coding"
"chr3",8340066,0.171,"downstream_gene_variant","MODIFIER","ENSCHAG00000008054","ENSCHAG00000008054","protein_coding"
"chr3",8341176,0.061,"upstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8341510,0.208,"upstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8343792,0.09,"upstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8344192,0.058,"upstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8345815,0.136,"intron_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8345854,0.051,"intron_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8345865,0.059,"intron_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8346685,0.144,"intron_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8348738,0.071,"intron_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8349001,0.177,"synonymous_variant","LOW","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8350062,0.07,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8350410,0.498,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8350427,0.341,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8350461,0.311,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8350621,0.059,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8350640,0.066,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8351120,0.076,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8352710,0.096,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8352733,0.061,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8353465,0.061,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8353475,0.059,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8353648,0.06,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8353785,0.281,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8354106,0.052,"downstream_gene_variant","MODIFIER","kti12","ENSCHAG00000008164","protein_coding"
"chr3",8355367,0.06,"downstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008452","protein_coding"
"chr3",8355736,0.082,"downstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008452","protein_coding"
"chr3",8359072,0.074,"upstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008452","protein_coding"
"chr3",8359668,0.068,"upstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008452","protein_coding"
"chr3",8360380,0.061,"upstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008452","protein_coding"
"chr3",8361195,0.265,"upstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008452","protein_coding"
"chr3",8362061,0.058,"upstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008452","protein_coding"
"chr3",8362062,0.058,"upstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008452","protein_coding"
"chr3",8362354,0.061,"upstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008452","protein_coding"
"chr3",8362360,0.1,"upstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008452","protein_coding"
"chr3",8362430,0.114,"upstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008452","protein_coding"
"chr3",8364713,0.056,"downstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008473","protein_coding"
"chr3",8366908,0.081,"upstream_gene_variant","MODIFIER","ch25hl1.1","ENSCHAG00000008473","protein_coding"
"chr3",8372014,0.093,"intron_variant","MODIFIER","si:dkey-24l11.2","ENSCHAG00000008501","protein_coding"
"chr3",8372091,0.102,"intron_variant","MODIFIER","si:dkey-24l11.2","ENSCHAG00000008501","protein_coding"
"chr3",8375428,0.125,"upstream_gene_variant","MODIFIER","si:dkey-24l11.2","ENSCHAG00000008501","protein_coding"
"chr3",8375454,0.122,"upstream_gene_variant","MODIFIER","si:dkey-24l11.2","ENSCHAG00000008501","protein_coding"
"chr3",8375471,0.072,"upstream_gene_variant","MODIFIER","si:dkey-24l11.2","ENSCHAG00000008501","protein_coding"
"chr3",8378254,0.069,"missense_variant","MODERATE","ch25hl1.2","ENSCHAG00000008524","protein_coding"
"chr3",8378917,0.07,"missense_variant","MODERATE","ch25hl1.2","ENSCHAG00000008524","protein_coding"
"chr3",8379178,0.054,"upstream_gene_variant","MODIFIER","tspan3a","ENSCHAG00000008545","protein_coding"
"chr3",8380310,0.655,"downstream_gene_variant","MODIFIER","ch25hl1.2","ENSCHAG00000008524","protein_coding"
"chr3",8383234,0.057,"downstream_gene_variant","MODIFIER","ch25hl1.2","ENSCHAG00000008524","protein_coding"
"chr3",8384517,0.066,"intron_variant","MODIFIER","tspan3a","ENSCHAG00000008545","protein_coding"
"chr3",8389514,0.063,"downstream_gene_variant","MODIFIER","tspan3a","ENSCHAG00000008545","protein_coding"
"chr3",8391042,0.098,"downstream_gene_variant","MODIFIER","tspan3a","ENSCHAG00000008545","protein_coding"
"chr3",8393914,0.159,"intron_variant","MODIFIER","pstpip1a","ENSCHAG00000008609","protein_coding"
"chr3",8394236,0.051,"intron_variant","MODIFIER","pstpip1a","ENSCHAG00000008609","protein_coding"
"chr3",8395549,0.117,"downstream_gene_variant","MODIFIER","rcn2","ENSCHAG00000008622","protein_coding"
"chr3",8396450,0.092,"downstream_gene_variant","MODIFIER","rcn2","ENSCHAG00000008622","protein_coding"
"chr3",8404782,0.081,"upstream_gene_variant","MODIFIER","rcn2","ENSCHAG00000008622","protein_coding"
"chr3",8404822,0.31,"upstream_gene_variant","MODIFIER","rcn2","ENSCHAG00000008622","protein_coding"
"chr3",8409926,0.074,"intron_variant","MODIFIER","scaper","ENSCHAG00000008671","protein_coding"
"chr3",8429725,0.066,"intron_variant","MODIFIER","scaper","ENSCHAG00000008671","protein_coding"
"chr3",8431194,0.054,"intron_variant","MODIFIER","scaper","ENSCHAG00000008671","protein_coding"
"chr3",8436596,0.088,"intron_variant","MODIFIER","scaper","ENSCHAG00000008671","protein_coding"
"chr3",8452185,0.069,"intron_variant","MODIFIER","scaper","ENSCHAG00000008671","protein_coding"
"chr3",8452862,0.188,"intron_variant","MODIFIER","scaper","ENSCHAG00000008671","protein_coding"
"chr3",8479911,0.093,"intron_variant","MODIFIER","scaper","ENSCHAG00000008671","protein_coding"
"chr3",8504673,0.054,"downstream_gene_variant","MODIFIER","scaper","ENSCHAG00000008671","protein_coding"
