# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADGRL3	ENSCHAG00000016770	ENSCHAT00000039480	protein_coding	0	0	0	31	0	0	0	4	27	0	0	0	0	0	0	0	0
ADGRL3	ENSCHAG00000016770	ENSCHAT00000039509	protein_coding	0	0	0	29	0	0	0	4	25	0	0	0	0	0	0	0	0
ADGRL3	ENSCHAG00000016770	ENSCHAT00000039526	protein_coding	0	0	0	29	0	0	0	4	25	0	0	0	0	0	0	0	0
ADGRL3	ENSCHAG00000016770	ENSCHAT00000039563	protein_coding	0	0	0	29	0	0	0	4	25	0	0	0	0	0	0	0	0
ADGRL3	ENSCHAG00000016770	ENSCHAT00000039603	protein_coding	0	0	0	29	0	0	0	4	25	0	0	0	0	0	0	0	0
ADGRL3	ENSCHAG00000016770	ENSCHAT00000040543	protein_coding	0	0	1	27	0	0	0	4	23	1	0	0	0	0	0	0	0
ADGRL3	ENSCHAG00000016770	ENSCHAT00000040844	protein_coding	0	0	0	28	0	0	0	4	23	0	0	0	0	0	0	0	1
ADGRL3	ENSCHAG00000016770	ENSCHAT00000041272	protein_coding	0	0	0	28	0	0	0	4	23	0	0	0	0	0	0	0	1
ADGRL3	ENSCHAG00000016770	ENSCHAT00000041573	protein_coding	0	0	0	22	0	0	0	0	21	0	0	0	0	0	0	0	1
ARHGDIA	ENSCHAG00000003580	ENSCHAT00000006324	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ARHGDIA	ENSCHAG00000003580	ENSCHAT00000006362	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
BPTF	ENSCHAG00000021387	ENSCHAT00000050498	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	2
BPTF	ENSCHAG00000021387	ENSCHAT00000050801	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	2
