"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSCHAG00000017231"," ","ENSCHAG00000017231",NA,"lncRNA","Atlantic herring",2,0.250085,"",48.48,1,1055,NA,1056,NA,NA,1
"ENSCHAG00000017232"," ","ENSCHAG00000017232",NA,"lncRNA","Atlantic herring",2,0.251808,"",45.99,1,2232,NA,665,NA,NA,3
"ENSCHAG00000008409"," ","ENSCHAG00000008409",NA,"lncRNA","Atlantic herring",2,1.866662,"",48.27,1,1037,NA,1038,NA,NA,1
"ENSCHAG00000008464"," ","ENSCHAG00000008464",NA,"lncRNA","Atlantic herring",2,1.891572,"",39.21,1,4414,NA,1367,NA,NA,3
"ENSCHAG00000008465"," ","ENSCHAG00000008465",NA,"lncRNA","Atlantic herring",2,1.899691,"",42.54,2,3767,NA,1450.5,NA,NA,2.5
"ENSCHAG00000020725"," ","ENSCHAG00000020725",NA,"lncRNA","Atlantic herring",2,10.6839,"",42.34,1,1128,NA,1076,NA,NA,2
"ENSCHAG00000020726"," ","ENSCHAG00000020726",NA,"lncRNA","Atlantic herring",2,10.685049,"",39.7,3,7399,NA,560,NA,NA,7
"ENSCHAG00000022624"," ","ENSCHAG00000022624",NA,"lncRNA","Atlantic herring",2,23.089955,"",47.03,1,30096,NA,1597,NA,NA,4
"ENSCHAG00000009134"," ","ENSCHAG00000009134",NA,"lncRNA","Atlantic herring",3,14.883625,"",43.27,1,1820,NA,1438,NA,NA,2
"ENSCHAG00000009137"," ","ENSCHAG00000009137",NA,"lncRNA","Atlantic herring",3,14.886009,"",42.04,1,2066,NA,1353,NA,NA,2
"ENSCHAG00000007691"," ","ENSCHAG00000007691",NA,"lncRNA","Atlantic herring",3,18.342155,"",56.37,1,1028,NA,1029,NA,NA,1
"ENSCHAG00000007697"," ","ENSCHAG00000007697",NA,"lncRNA","Atlantic herring",3,18.347297,"",44.68,1,1295,NA,1296,NA,NA,1
"ENSCHAG00000016346"," ","ENSCHAG00000016346",NA,"lncRNA","Atlantic herring",3,25.671422,"",43.01,1,2117,NA,1441,NA,NA,2
"ENSCHAG00000016349"," ","ENSCHAG00000016349",NA,"lncRNA","Atlantic herring",3,25.674956,"",50.19,1,1539,NA,1159,NA,NA,2
"ENSCHAG00000025020"," ","ENSCHAG00000025020",NA,"lncRNA","Atlantic herring",4,8.15822,"",53.3,1,1528,NA,1222,NA,NA,2
"ENSCHAG00000024726"," ","ENSCHAG00000024726",NA,"lncRNA","Atlantic herring",4,17.892096,"",47.26,1,2879,NA,2607,NA,NA,3
"ENSCHAG00000022401"," ","ENSCHAG00000022401",NA,"lncRNA","Atlantic herring",5,8.168396,"",44.96,1,1298,NA,1144,NA,NA,2
"ENSCHAG00000015422"," ","ENSCHAG00000015422",NA,"lncRNA","Atlantic herring",6,8.233238,"",48.05,1,3851,NA,3852,NA,NA,1
"ENSCHAG00000000676"," ","ENSCHAG00000000676",NA,"lncRNA","Atlantic herring",6,8.359189,"",55.93,1,1011,NA,1012,NA,NA,1
"ENSCHAG00000020583"," ","ENSCHAG00000020583",NA,"lncRNA","Atlantic herring",6,16.437093,"",47.22,1,48329,NA,780,NA,NA,3
"ENSCHAG00000000252"," ","ENSCHAG00000000252",NA,"lncRNA","Atlantic herring",6,16.605387,"",44.38,1,13033,NA,300,NA,NA,3
"ENSCHAG00000023139"," ","ENSCHAG00000023139",NA,"lncRNA","Atlantic herring",9,3.990302,"",48.48,2,19958,NA,1038.5,NA,NA,2.5
"ENSCHAG00000013791"," ","ENSCHAG00000013791",NA,"lncRNA","Atlantic herring",10,13.083719,"",39.38,1,6598,NA,1053,NA,NA,2
"ENSCHAG00000000422"," ","ENSCHAG00000000422",NA,"lncRNA","Atlantic herring",10,16.141395,"",41.46,1,5009,NA,508,NA,NA,3
"ENSCHAG00000000471"," ","ENSCHAG00000000471",NA,"lncRNA","Atlantic herring",10,16.249801,"",49.86,1,1064,NA,1065,NA,NA,1
"ENSCHAG00000009692"," ","ENSCHAG00000009692",NA,"lncRNA","Atlantic herring",10,16.37736,"",41.58,2,17409,NA,852,NA,NA,3.5
"ENSCHAG00000025722"," ","ENSCHAG00000025722",NA,"lncRNA","Atlantic herring",10,28.897718,"",46.46,1,19721,NA,1387,NA,NA,2
"ENSCHAG00000010806"," ","ENSCHAG00000010806",NA,"lncRNA","Atlantic herring",11,0.722397,"",44.41,1,2591,NA,382,NA,NA,3
"ENSCHAG00000010886"," ","ENSCHAG00000010886",NA,"lncRNA","Atlantic herring",11,0.742156,"",50.21,3,11333,NA,1305,NA,NA,4
"ENSCHAG00000011028"," ","ENSCHAG00000011028",NA,"lncRNA","Atlantic herring",11,0.854014,"",49.73,1,2253,NA,1431,NA,NA,2
"ENSCHAG00000011032"," ","ENSCHAG00000011032",NA,"lncRNA","Atlantic herring",11,0.861662,"",50.14,1,1419,NA,1420,NA,NA,1
"ENSCHAG00000006819"," ","ENSCHAG00000006819",NA,"lncRNA","Atlantic herring",12,28.596789,"",46.57,1,1165,NA,827,NA,NA,3
"ENSCHAG00000013397"," ","ENSCHAG00000013397",NA,"lncRNA","Atlantic herring",12,29.935587,"",51.55,1,1479,NA,1480,NA,NA,1
"ENSCHAG00000013400"," ","ENSCHAG00000013400",NA,"lncRNA","Atlantic herring",12,29.970388,"",43.16,1,1366,NA,1367,NA,NA,1
"ENSCHAG00000018128"," ","ENSCHAG00000018128",NA,"lncRNA","Atlantic herring",13,8.014762,"",45.86,1,11644,NA,1761,NA,NA,2
"ENSCHAG00000009216"," ","ENSCHAG00000009216",NA,"lncRNA","Atlantic herring",13,23.482998,"",47.32,1,116680,NA,797,NA,NA,4
"ENSCHAG00000002458"," ","ENSCHAG00000002458",NA,"lncRNA","Atlantic herring",13,29.427784,"",41.73,1,2352,NA,1891,NA,NA,2
"ENSCHAG00000004347"," ","ENSCHAG00000004347",NA,"lncRNA","Atlantic herring",13,29.626573,"",48.63,1,14141,NA,1575,NA,NA,3
"ENSCHAG00000023574"," ","ENSCHAG00000023574",NA,"lncRNA","Atlantic herring",14,14.619214,"",47.62,1,1324,NA,1325,NA,NA,1
"ENSCHAG00000011225"," ","ENSCHAG00000011225",NA,"lncRNA","Atlantic herring",14,24.203648,"",43.18,1,4073,NA,917,NA,NA,3
